exp_id,index,service_combination,vm_type,cpu_idle,cpu_user,cpu_sys,mem,cache,buffer,procs_running,procs_blocked,load1,load5,load15
2053,1,"('frontend', 'reservation')",a1.xlarge,652.29,60.94,33.37,7312218794.67,2387295573.33,2662400.0,6.08,0.0,1.27,0.82,0.82
2053,2,"('frontend', 'reservation')",a1.xlarge,999.02,79.88,45.02,7305754282.67,2387539285.33,2662400.0,5.58,0.0,0.65,0.59,0.59
1289,0,"('frontend', 'search')",a1.large,276.18,59.91,27.68,3267949226.67,2323771562.67,2662400.0,5.17,0.0,0.36,0.62,0.62
1289,1,"('frontend', 'search')",a1.large,619.0,83.9,41.2,3179801941.33,2377444864.0,2662400.0,5.17,0.0,0.19,0.34,0.34
1289,2,"('frontend', 'search')",a1.large,960.72,105.82,53.97,3249493504.0,2374817621.33,2662400.0,4.96,0.0,0.59,0.46,0.46
1290,0,"('frontend', 'user')",a1.large,1306.47,128.79,67.1,3168588288.0,2378854058.67,2662400.0,5.25,0.0,0.33,0.33,0.33
1290,1,"('frontend', 'user')",a1.large,1646.35,153.23,81.38,3172151296.0,2381129898.67,2662400.0,5.71,0.0,0.33,0.26,0.26
1290,2,"('frontend', 'user')",a1.large,1985.88,178.07,95.12,3168145408.0,2381366272.0,2662400.0,5.21,0.0,0.57,0.43,0.43
526,0,"('geo', 'profile')",a1.medium,152.74,116.65,55.37,1352156842.67,1333720576.0,2662400.0,5.0,0.0,3.33,2.15,2.15
526,1,"('geo', 'profile')",a1.medium,381.22,175.38,88.98,1372061525.33,1352051712.0,2662400.0,5.92,0.0,2.68,1.95,1.96
526,2,"('geo', 'profile')",a1.medium,611.22,235.11,123.14,1376978090.67,1331667797.33,2662400.0,5.54,0.0,3.33,2.09,2.09
527,0,"('geo', 'rate')",a1.medium,924.61,270.03,141.78,1383229269.33,1250932224.0,2662400.0,3.42,0.0,0.35,0.99,0.99
782,0,"('geo', 'rate')",M6.medium,235.59,92.02,41.82,3279049045.33,2326512469.33,2662400.0,3.58,0.0,1.0,1.07,1.07
782,0,"('geo', 'rate')",M6.medium,558.15,123.16,58.96,3250791594.67,2330355541.33,2662400.0,3.71,0.0,0.41,0.74,0.74
782,1,"('geo', 'rate')",M6.medium,885.78,152.85,74.15,3255581184.0,2330679466.67,2662400.0,3.38,0.0,0.18,0.32,0.32
782,2,"('geo', 'rate')",M6.medium,1215.23,182.47,89.05,3258061312.0,2330193408.0,2662400.0,4.17,0.0,0.15,0.27,0.27
528,0,"('geo', 'recommendation')",a1.medium,209.74,102.82,47.1,1348794709.33,1343447040.0,2662400.0,3.33,0.04,0.91,1.67,1.67
528,1,"('geo', 'recommendation')",a1.medium,526.3,137.33,64.56,1354699776.0,1340557482.67,2662400.0,3.96,0.0,0.19,0.66,0.66
528,2,"('geo', 'recommendation')",a1.medium,841.52,171.38,82.18,1360775338.67,1338440874.67,2662400.0,3.92,0.0,0.29,0.46,0.46
529,0,"('geo', 'reservation')",a1.medium,1148.85,211.81,105.26,1371361450.67,1338475861.33,2662400.0,4.25,0.0,0.33,0.35,0.35
529,1,"('geo', 'reservation')",a1.medium,1445.27,257.11,130.67,1370157568.0,1332210688.0,2662400.0,4.25,0.0,0.49,0.53,0.53
529,2,"('geo', 'reservation')",a1.medium,1736.97,304.04,157.5,1368677717.33,1333643093.33,2662400.0,3.83,0.0,1.18,0.72,0.72
530,0,"('geo', 'search')",a1.medium,2053.15,346.36,179.64,1370220544.0,1332139349.33,2662400.0,4.04,0.0,0.95,1.0,1.0
530,1,"('geo', 'search')",a1.medium,2369.27,388.13,201.99,1367182848.0,1336245760.0,2662400.0,4.33,0.04,0.57,0.62,0.62
530,2,"('geo', 'search')",a1.medium,2693.11,429.44,223.49,1370452309.33,1326215680.0,2662400.0,3.75,0.0,0.57,0.56,0.56
786,0,"('geo', 'user')",M6.medium,249.19,113.51,51.25,3267087018.67,2324753749.33,2662400.0,3.5,0.0,0.68,1.2,1.2
786,1,"('geo', 'user')",M6.medium,581.59,144.15,66.13,3268469077.33,2325413888.0,2662400.0,4.0,0.0,0.17,0.79,0.79
786,2,"('geo', 'user')",M6.medium,910.3,174.13,80.62,3266049365.33,2325742762.67,2662400.0,3.37,0.0,0.85,0.7,0.7
532,0,"('profile', 'rate')",a1.medium,166.07,117.18,59.45,1359348394.67,1338010282.67,2662400.0,5.42,0.0,3.0,1.96,1.96
532,1,"('profile', 'rate')",a1.medium,398.11,183.81,100.59,1375809536.0,1351337984.0,2662400.0,5.5,0.0,2.66,1.9,1.9
787,0,"('profile', 'rate')",M6.medium,137.03,123.56,60.32,3280833194.67,2404883626.67,2662400.0,5.42,0.0,4.02,2.45,2.45
1297,0,"('profile', 'rate')",a1.large,265.72,68.26,34.75,3198046037.33,2451858261.33,2662400.0,6.46,0.0,1.6,1.06,1.06
1297,1,"('profile', 'rate')",a1.large,543.72,105.37,62.14,3180842325.33,2462942037.33,2662400.0,6.96,0.0,2.31,1.44,1.44
1297,2,"('profile', 'rate')",a1.large,824.85,143.41,90.18,3168235690.67,2463143765.33,2662400.0,6.42,0.0,2.29,1.54,1.54
533,0,"('profile', 'recommendation')",a1.medium,249.42,90.37,42.48,1351846912.0,1308627626.67,2662400.0,4.75,0.08,2.83,1.46,1.46
533,0,"('profile', 'recommendation')",a1.medium,479.89,146.9,76.64,1341926570.67,1320950954.67,2662400.0,5.37,0.0,2.67,1.8,1.8
533,1,"('profile', 'recommendation')",a1.medium,711.13,202.35,112.07,1359940778.67,1306333696.0,2662400.0,5.58,0.0,2.72,1.82,1.82
533,2,"('profile', 'recommendation')",a1.medium,946.88,256.97,146.46,1362536618.67,1309847722.67,2662400.0,5.79,0.0,2.35,1.63,1.63
534,0,"('profile', 'reservation')",a1.medium,1181.38,310.53,179.86,1363879253.33,1313513642.67,2662400.0,5.54,0.0,3.47,2.2,2.2
534,1,"('profile', 'reservation')",a1.medium,1415.61,363.1,214.3,1362347861.33,1321306112.0,2662400.0,5.42,0.0,2.77,1.9,1.9
534,2,"('profile', 'reservation')",a1.medium,1651.78,415.49,247.35,1359523498.67,1325417984.0,2662400.0,6.04,0.0,3.3,2.12,2.11
535,0,"('profile', 'search')",a1.medium,1893.34,469.76,280.58,1361445376.0,1317380096.0,2662400.0,5.25,0.0,2.68,2.0,2.0
790,0,"('profile', 'search')",M6.medium,165.1,117.66,56.55,3272530944.0,2396454741.33,2662400.0,6.33,0.0,3.37,2.3,2.3
1300,0,"('profile', 'search')",a1.large,213.8,76.66,42.34,3227292501.33,2451551061.33,2662400.0,6.54,0.0,3.17,2.04,2.04
1300,1,"('profile', 'search')",a1.large,492.18,114.85,70.45,3217454421.33,2455548245.33,2662400.0,5.83,0.0,2.26,1.59,1.59
1300,2,"('profile', 'search')",a1.large,773.88,152.62,98.72,3201932288.0,2453871274.67,2662400.0,6.75,0.0,1.98,1.39,1.39
791,0,"('profile', 'user')",M6.medium,183.28,127.61,65.95,3249271318.26,2404933973.33,2662400.0,6.21,0.0,3.66,2.46,2.46
1301,0,"('profile', 'user')",a1.large,241.91,74.71,38.11,3133393237.33,2460905984.0,2662400.0,5.96,0.0,2.76,1.75,1.75
1301,1,"('profile', 'user')",a1.large,519.55,113.75,65.48,3264936106.67,2460146517.33,2662400.0,6.96,0.0,3.02,1.92,1.92
