exp_id,service_combination,vm_type,service_name,API_name,performance_value(ms)
90,"('payment', 'carts', 'user', 'catalogue')",a1.medium,carts,merge,34.9102
90,"('payment', 'carts', 'user', 'catalogue')",a1.medium,carts,addToCart,33.528
90,"('payment', 'carts', 'user', 'catalogue')",a1.medium,carts,delete,17.026
90,"('payment', 'carts', 'user', 'catalogue')",a1.medium,user,GetUsers,0
90,"('payment', 'carts', 'user', 'catalogue')",a1.medium,user,Login,0.0
90,"('payment', 'carts', 'user', 'catalogue')",a1.medium,user,GetAddresses,0.0
90,"('payment', 'carts', 'user', 'catalogue')",a1.medium,catalogue,List,0.0
90,"('payment', 'carts', 'user', 'catalogue')",a1.medium,catalogue,Get,0.0
152,"('payment', 'carts', 'user', 'catalogue')",a1.large,payment,Authorise,0
152,"('payment', 'carts', 'user', 'catalogue')",a1.large,carts,get_cart,14.8027
152,"('payment', 'carts', 'user', 'catalogue')",a1.large,carts,merge,27.358
152,"('payment', 'carts', 'user', 'catalogue')",a1.large,carts,addToCart,29.0466
152,"('payment', 'carts', 'user', 'catalogue')",a1.large,carts,delete,14.3884
152,"('payment', 'carts', 'user', 'catalogue')",a1.large,user,GetAddresses,0.0
152,"('payment', 'carts', 'user', 'catalogue')",a1.large,user,Login,0.0
152,"('payment', 'carts', 'user', 'catalogue')",a1.large,user,GetUsers,0
152,"('payment', 'carts', 'user', 'catalogue')",a1.large,catalogue,List,0
152,"('payment', 'carts', 'user', 'catalogue')",a1.large,catalogue,Get,0.0
245,"('payment', 'carts', 'user', 'catalogue')",a1.xlarge,payment,Authorise,0.0
245,"('payment', 'carts', 'user', 'catalogue')",a1.xlarge,carts,get_cart,10.1603
245,"('payment', 'carts', 'user', 'catalogue')",a1.xlarge,carts,merge,24.8996
245,"('payment', 'carts', 'user', 'catalogue')",a1.xlarge,carts,addToCart,22.5659
245,"('payment', 'carts', 'user', 'catalogue')",a1.xlarge,carts,delete,12.0652
245,"('payment', 'carts', 'user', 'catalogue')",a1.xlarge,user,GetAddresses,0.0
245,"('payment', 'carts', 'user', 'catalogue')",a1.xlarge,user,Login,0.0
